confidence：0.0 , text_threshold:0.0 , mAP结果：71.20828
confidence：0.0 , text_threshold:0.1 , mAP结果：71.20828
confidence：0.0 , text_threshold:0.2 , mAP结果：71.20828
confidence：0.0 , text_threshold:0.30000000000000004 , mAP结果：71.20828
confidence：0.0 , text_threshold:0.4 , mAP结果：71.20828
confidence：0.0 , text_threshold:0.5 , mAP结果：71.20828
confidence：0.0 , text_threshold:0.6000000000000001 , mAP结果：71.20828
confidence：0.0 , text_threshold:0.7000000000000001 , mAP结果：71.20828
confidence：0.0 , text_threshold:0.8 , mAP结果：71.20828
confidence：0.0 , text_threshold:0.9 , mAP结果：71.20828
confidence：0.0 , text_threshold:1.0 , mAP结果：71.20828
confidence：0.1 , text_threshold:0.0 , mAP结果：70.57590
confidence：0.1 , text_threshold:0.1 , mAP结果：70.57590
confidence：0.1 , text_threshold:0.2 , mAP结果：70.57590
confidence：0.1 , text_threshold:0.30000000000000004 , mAP结果：70.57590
confidence：0.1 , text_threshold:0.4 , mAP结果：70.57590
confidence：0.1 , text_threshold:0.5 , mAP结果：70.57590
confidence：0.1 , text_threshold:0.6000000000000001 , mAP结果：70.57590
confidence：0.1 , text_threshold:0.7000000000000001 , mAP结果：70.57590
confidence：0.1 , text_threshold:0.8 , mAP结果：70.57590
confidence：0.1 , text_threshold:0.9 , mAP结果：70.57590
confidence：0.1 , text_threshold:1.0 , mAP结果：70.57590
confidence：0.2 , text_threshold:0.0 , mAP结果：66.95202
confidence：0.2 , text_threshold:0.1 , mAP结果：66.95202
confidence：0.2 , text_threshold:0.2 , mAP结果：66.95202
confidence：0.2 , text_threshold:0.30000000000000004 , mAP结果：66.95202
confidence：0.2 , text_threshold:0.4 , mAP结果：66.95202
confidence：0.2 , text_threshold:0.5 , mAP结果：66.95202
confidence：0.2 , text_threshold:0.6000000000000001 , mAP结果：66.95202
confidence：0.2 , text_threshold:0.7000000000000001 , mAP结果：66.95202
confidence：0.2 , text_threshold:0.8 , mAP结果：66.95202
confidence：0.2 , text_threshold:0.9 , mAP结果：66.95202
confidence：0.2 , text_threshold:1.0 , mAP结果：66.95202
confidence：0.30000000000000004 , text_threshold:0.0 , mAP结果：58.01878
confidence：0.30000000000000004 , text_threshold:0.1 , mAP结果：58.01878
confidence：0.30000000000000004 , text_threshold:0.2 , mAP结果：58.01878
confidence：0.30000000000000004 , text_threshold:0.30000000000000004 , mAP结果：58.01878
confidence：0.30000000000000004 , text_threshold:0.4 , mAP结果：58.01878
confidence：0.30000000000000004 , text_threshold:0.5 , mAP结果：58.01878
confidence：0.30000000000000004 , text_threshold:0.6000000000000001 , mAP结果：58.01878
confidence：0.30000000000000004 , text_threshold:0.7000000000000001 , mAP结果：58.01878
confidence：0.30000000000000004 , text_threshold:0.8 , mAP结果：58.01878
confidence：0.30000000000000004 , text_threshold:0.9 , mAP结果：58.01878
confidence：0.30000000000000004 , text_threshold:1.0 , mAP结果：58.01878
confidence：0.4 , text_threshold:0.0 , mAP结果：43.72619
confidence：0.4 , text_threshold:0.1 , mAP结果：43.72619
confidence：0.4 , text_threshold:0.2 , mAP结果：43.72619
confidence：0.4 , text_threshold:0.30000000000000004 , mAP结果：43.72619
confidence：0.4 , text_threshold:0.4 , mAP结果：43.72619
confidence：0.4 , text_threshold:0.5 , mAP结果：43.72619
confidence：0.4 , text_threshold:0.6000000000000001 , mAP结果：43.72619
confidence：0.4 , text_threshold:0.7000000000000001 , mAP结果：43.72619
confidence：0.4 , text_threshold:0.8 , mAP结果：43.72619
confidence：0.4 , text_threshold:0.9 , mAP结果：43.72619
confidence：0.4 , text_threshold:1.0 , mAP结果：43.72619
